"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10309","verifyAfterDeleteClientTest","regression","2026-03-30","broken","2026-03-30","tests.ClientsTests","Chrome","tests.ClientsTests","verifyAfterDeleteClientTest"
"","9156","verifyAfterEditCategoryTest","regression","2026-03-30","passed","2026-03-30","tests.CategoryTests","Chrome","tests.CategoryTests","verifyAfterEditCategoryTest"
"","2061","verifyClientsDashboardContent","regression","2026-06-29","passed","2026-06-29","tests.DashboardTests","Main Flow","tests.DashboardTests","verifyClientsDashboardContent"
"","24246","addPartnerTest","regression","2026-04-01","passed","2026-04-01","tests.PartnersTestsTwo","Chrome","tests.PartnersTestsTwo","addPartnerTest"
"","53044","shouldAddEditAndDeleteNewSuccessfully","regression","2026-04-09","passed","2026-04-09","tests.BlogsTests","Chrome","tests.BlogsTests","shouldAddEditAndDeleteNewSuccessfully"
"","6527","verifyAfterEditUseCaseTest","regression","2026-06-07","broken","2026-06-07","tests.UseCasesTests","Main Flow","tests.UseCasesTests","verifyAfterEditUseCaseTest"
"","37","setupAdminSession","regression","2026-06-01","broken","2026-06-01","tests.ClientsTests","Main Flow","tests.ClientsTests","setupAdminSession"
"","3269","addPartnerTest","regression","2026-04-01","passed","2026-04-01","tests.PartnersTests","Chrome","tests.PartnersTests","addPartnerTest"
"","6577","editCategoryTest","regression","2026-03-30","passed","2026-03-30","tests.CategoryTests","Chrome","tests.CategoryTests","editCategoryTest"
"","4240","editClientTest","regression","2026-03-30","passed","2026-03-30","tests.ClientsTests","Chrome","tests.ClientsTests","editClientTest"
"","3553","verifyDashboardTabs","regression","2026-06-29","passed","2026-06-29","tests.DashboardTests","Main Flow","tests.DashboardTests","verifyDashboardTabs"
"","2234","verifyAfterEditFeatureGroupTest","regression","2026-04-04","broken","2026-04-04","tests.FeatureGroupTests","Chrome","tests.FeatureGroupTests","verifyAfterEditFeatureGroupTest"
"","1","setupAdminSession","regression","2026-07-06","broken","2026-07-06","tests.RolesTests","Main Flow","tests.RolesTests","setupAdminSession"
"","2","setUp","regression","2026-04-01","broken","2026-04-01","tests.ClientsTests","Chrome","tests.ClientsTests","setUp"
"","4700","editPartnerTest","regression","2026-04-01","passed","2026-04-01","tests.PartnersTestsTwo","Chrome","tests.PartnersTestsTwo","editPartnerTest"
"","2","setupAdminSession","regression","2026-06-07","broken","2026-06-07","tests.UseCasesTests","Main Flow","tests.UseCasesTests","setupAdminSession"
"","10330","addAndDeleteSubscribesTest","regression","2026-06-06","passed","2026-06-06","tests.SubscribersTests","Main Flow","tests.SubscribersTests","addAndDeleteSubscribesTest"
"","25172","shouldAddEditAndDeleteBlogCategorySuccessfully","regression","2026-06-06","passed","2026-06-06","tests.BlogCategoriesTests","Main Flow","tests.BlogCategoriesTests","shouldAddEditAndDeleteBlogCategorySuccessfully"
"","3577","addAndEditAndDeleteClient","regression","2026-04-01","broken","2026-04-01","tests.ClientsTests","Chrome","tests.ClientsTests","addAndEditAndDeleteClient"
"","23209","verifyFooterCompanySectionLinks","regression","2026-07-05","passed","2026-07-05","tests.HomeTests","Main Flow","tests.HomeTests","verifyFooterCompanySectionLinks"
"","42688","shouldAddEditAndDeletePartnerSuccessfully","regression","2026-06-06","passed","2026-06-06","tests.PartnersTests","Main Flow","tests.PartnersTests","shouldAddEditAndDeletePartnerSuccessfully"
"","558","deleteUseCaseTest","regression","2026-06-07","broken","2026-06-07","tests.UseCasesTests","Main Flow","tests.UseCasesTests","deleteUseCaseTest"
"","5526","verifyAfterEditClientTest","regression","2026-03-30","passed","2026-03-30","tests.ClientsTests","Chrome","tests.ClientsTests","verifyAfterEditClientTest"
"","3","login","Default Suite","2026-03-16","broken","2026-03-16","tests.FeatureGroupTests","WebsiteUI","tests.FeatureGroupTests","login"
"","7158","addAndDeleteSubscribesTest","regression","2026-04-14","passed","2026-04-14","tests.SubscribesTests","Chrome","tests.SubscribesTests","addAndDeleteSubscribesTest"
"","577","loginWithCorrectEmailAndPassword","regression","2026-03-14","passed","2026-03-14","tests.LoginTests","Chrome","tests.LoginTests","loginWithCorrectEmailAndPassword"
"","5579","deleteClientTest","regression","2026-03-30","passed","2026-03-30","tests.ClientsTests","Chrome","tests.ClientsTests","deleteClientTest"
"","2350","deletePartnerTest","regression","2026-04-01","passed","2026-04-01","tests.PartnersTests","Chrome","tests.PartnersTests","deletePartnerTest"
"","3271","verifyBlogsDashboardContent","regression","2026-06-29","passed","2026-06-29","tests.DashboardTests","Main Flow","tests.DashboardTests","verifyBlogsDashboardContent"
"","11850","verifyAfterAddUseCaseTest","regression","2026-06-07","broken","2026-06-07","tests.UseCasesTests","Main Flow","tests.UseCasesTests","verifyAfterAddUseCaseTest"
